scope,graph_id,arm,diagnostic,stratum,n,judge_acc,judge_status,match_acc,gold_embedding_cosine,mrr,recall_at_1,recall_at_5,exact_decode
graph,graph_01,core_oracle_true_weights,visible_child,yes,19,,pending,0.5263157894736842,0.8238992518629771,0.20073289283815599,0.0,0.47368421052631576,0.0
graph,graph_01,core_shuffled_graph,visible_child,no,20,,pending,0.15,0.8139601730431701,0.07775665704264775,0.0,0.0,0.0
graph,graph_01,core_shuffled_graph,visible_child,yes,380,,pending,0.3736842105263158,0.7387493874200431,0.15042800726919597,0.002631578947368421,0.2631578947368421,0.002631578947368421
graph,graph_01,core_reversed_graph,visible_child,no,1,,pending,1.0,0.8573375359843793,0.125,0.0,0.0,0.0
graph,graph_01,core_reversed_graph,visible_child,yes,19,,pending,0.631578947368421,0.8859186135854786,0.17091324568104752,0.0,0.3684210526315789,0.0
graph,graph_01,raw_correlation,visible_child,no,1,,pending,0.0,0.9026782983944727,0.05,0.0,0.0,0.0
graph,graph_01,raw_correlation,visible_child,yes,19,,pending,0.5789473684210527,0.9186237065220211,0.1236828960513171,0.0,0.15789473684210525,0.0
graph,graph_01,uniform,visible_child,no,1,,pending,0.0,0.9018774511372529,0.05,0.0,0.0,0.0
graph,graph_01,uniform,visible_child,yes,19,,pending,0.21052631578947367,0.9179440366926831,0.09745657769529369,0.0,0.10526315789473684,0.0
graph,graph_02,core_oracle_estimated_weights,visible_child,no,1,,pending,1.0,0.860628174834846,0.05263157894736842,0.0,0.0,0.0
graph,graph_02,core_oracle_estimated_weights,visible_child,yes,19,,pending,0.5263157894736842,0.7434846134807822,0.17862855668583225,0.0,0.42105263157894735,0.0
graph,graph_02,core_oracle_true_weights,visible_child,no,1,,pending,1.0,0.8623865755463274,0.05555555555555555,0.0,0.0,0.0
graph,graph_02,core_oracle_true_weights,visible_child,yes,19,,pending,0.631578947368421,0.7960226978309806,0.16945105977613717,0.0,0.47368421052631576,0.0
graph,graph_02,core_shuffled_graph,visible_child,no,20,,pending,0.2,0.800985377493876,0.08532000958278048,0.0,0.1,0.0
graph,graph_02,core_shuffled_graph,visible_child,yes,380,,pending,0.39473684210526316,0.7413992970307072,0.15369518813343155,0.002631578947368421,0.2736842105263158,0.002631578947368421
graph,graph_02,core_reversed_graph,visible_child,no,1,,pending,0.0,0.8257359493817487,0.06666666666666667,0.0,0.0,0.0
graph,graph_02,core_reversed_graph,visible_child,yes,19,,pending,0.631578947368421,0.8826576110458597,0.18404835618457913,0.0,0.47368421052631576,0.0
graph,graph_02,raw_correlation,visible_child,no,1,,pending,1.0,0.8896450769424569,0.05,0.0,0.0,0.0
graph,graph_02,raw_correlation,visible_child,yes,19,,pending,0.7894736842105263,0.916602722725145,0.11799924678366915,0.0,0.10526315789473684,0.0
graph,graph_02,uniform,visible_child,no,1,,pending,0.0,0.8879917167159691,0.05,0.0,0.0,0.0
graph,graph_02,uniform,visible_child,yes,19,,pending,0.21052631578947367,0.9162967318033822,0.10405404912289382,0.0,0.10526315789473684,0.0
aggregate,aggregate,core_oracle_estimated_weights,visible_same_module,yes,60,,pending,0.6833333333333333,0.7455058595645234,0.22048643314316685,0.0,0.55,0.0
aggregate,aggregate,core_oracle_true_weights,visible_same_module,yes,60,,pending,0.6833333333333333,0.7870045961147437,0.21087901885696006,0.0,0.5333333333333333,0.0
aggregate,aggregate,core_shuffled_graph,visible_same_module,yes,1200,,pending,0.37583333333333335,0.7324418508675352,0.15057517569146825,0.0033333333333333335,0.2658333333333333,0.0033333333333333335
aggregate,aggregate,core_reversed_graph,visible_same_module,yes,60,,pending,0.7166666666666667,0.8760015596763775,0.20666274901569015,0.0,0.45,0.0
aggregate,aggregate,raw_correlation,visible_same_module,yes,60,,pending,0.7166666666666667,0.9159024470694737,0.11635726674426364,0.0,0.15,0.0
aggregate,aggregate,uniform,visible_same_module,yes,60,,pending,0.26666666666666666,0.9153323599140563,0.09200369605168365,0.0,0.06666666666666667,0.0
graph,graph_00,core_oracle_estimated_weights,visible_same_module,yes,20,,pending,1.0,0.6755912192109879,0.28464285714285714,0.0,0.75,0.0
graph,graph_00,core_oracle_true_weights,visible_same_module,yes,20,,pending,0.9,0.734515185963214,0.27193452380952376,0.0,0.7,0.0
graph,graph_00,core_shuffled_graph,visible_same_module,yes,400,,pending,0.38,0.7104370248475407,0.15465465811063722,0.005,0.2825,0.005
graph,graph_00,core_reversed_graph,visible_same_module,yes,20,,pending,0.9,0.8637035913610545,0.2731913919413919,0.0,0.55,0.0
graph,graph_00,raw_correlation,visible_same_module,yes,20,,pending,0.8,0.9146260646567672,0.114473764539554,0.0,0.2,0.0
graph,graph_00,uniform,visible_same_module,yes,20,,pending,0.4,0.9139748912782457,0.07957599267777286,0.0,0.0,0.0
graph,graph_01,core_oracle_estimated_weights,visible_same_module,yes,20,,pending,0.5,0.811584567934097,0.2044877344877345,0.0,0.5,0.0
graph,graph_01,core_oracle_true_weights,visible_same_module,yes,20,,pending,0.5,0.8271577106642699,0.1969462481962482,0.0,0.45,0.0
graph,graph_01,core_shuffled_graph,visible_same_module,yes,400,,pending,0.3625,0.7425099267011995,0.14679443975786854,0.0025,0.25,0.0025
graph,graph_01,core_reversed_graph,visible_same_module,yes,20,,pending,0.65,0.8844895597054236,0.16861758339699515,0.0,0.35,0.0
graph,graph_01,raw_correlation,visible_same_module,yes,20,,pending,0.55,0.9178264361156435,0.11999875124875123,0.0,0.15,0.0
graph,graph_01,uniform,visible_same_module,yes,20,,pending,0.2,0.9171407074149116,0.095083748810529,0.0,0.1,0.0
graph,graph_02,core_oracle_estimated_weights,visible_same_module,yes,20,,pending,0.55,0.7493417915484855,0.17232870779890902,0.0,0.4,0.0
graph,graph_02,core_oracle_true_weights,visible_same_module,yes,20,,pending,0.65,0.7993408917167479,0.1637562845651081,0.0,0.45,0.0
graph,graph_02,core_shuffled_graph,visible_same_module,yes,400,,pending,0.385,0.7443786010538657,0.150276429205899,0.0025,0.265,0.0025
graph,graph_02,core_reversed_graph,visible_same_module,yes,20,,pending,0.6,0.8798115279626542,0.17817927170868347,0.0,0.45,0.0
graph,graph_02,raw_correlation,visible_same_module,yes,20,,pending,0.8,0.9152548404360104,0.11459928444448568,0.0,0.1,0.0
graph,graph_02,uniform,visible_same_module,yes,20,,pending,0.2,0.9148814810490118,0.10135134666674914,0.0,0.1,0.0
