analysis,group,graph_id,world,fold,node_id,comparison,primary_arm,comparator_arm,comparator_instances,metric,primary_value,comparator_value,delta
structural_group,root,graph_00,industrial_cooling_system,3,node_003,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,20,mrr,0.5,0.13875158531698778,0.3612484146830122
structural_group,root,graph_00,industrial_cooling_system,3,node_003,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,20,recall_at_1,0.0,0.0,0.0
structural_group,root,graph_00,industrial_cooling_system,3,node_003,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,20,recall_at_5,1.0,0.2,0.8
structural_group,root,graph_00,industrial_cooling_system,3,node_003,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,20,match_acc,1.0,0.35,0.65
structural_group,root,graph_00,industrial_cooling_system,3,node_003,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,20,exact,0.0,0.0,0.0
structural_group,root,graph_00,industrial_cooling_system,3,node_003,full_oracle_minus_uniform,full_oracle,uniform,1,gold_cosine,0.5107206995473914,0.9124236823069216,-0.4017029827595302
structural_group,root,graph_00,industrial_cooling_system,3,node_003,full_oracle_minus_uniform,full_oracle,uniform,1,centered_cosine,0.14662379698611322,-0.44478596021218675,0.5914097571982999
structural_group,root,graph_00,industrial_cooling_system,3,node_003,full_oracle_minus_uniform,full_oracle,uniform,1,prediction_margin,-0.2158812036008123,-0.020950133168783025,-0.19493107043202929
structural_group,root,graph_00,industrial_cooling_system,3,node_003,full_oracle_minus_uniform,full_oracle,uniform,1,mrr,0.5,0.05555555555555555,0.4444444444444444
structural_group,root,graph_00,industrial_cooling_system,3,node_003,full_oracle_minus_uniform,full_oracle,uniform,1,recall_at_1,0.0,0.0,0.0
structural_group,root,graph_00,industrial_cooling_system,3,node_003,full_oracle_minus_uniform,full_oracle,uniform,1,recall_at_5,1.0,0.0,1.0
structural_group,root,graph_00,industrial_cooling_system,3,node_003,full_oracle_minus_uniform,full_oracle,uniform,1,match_acc,1.0,0.0,1.0
structural_group,root,graph_00,industrial_cooling_system,3,node_003,full_oracle_minus_uniform,full_oracle,uniform,1,exact,0.0,0.0,0.0
structural_group,root,graph_00,industrial_cooling_system,3,node_003,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,1,gold_cosine,0.5107206995473914,0.9132398911865891,-0.4025191916391977
structural_group,root,graph_00,industrial_cooling_system,3,node_003,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,1,centered_cosine,0.14662379698611322,-0.04943127042478696,0.19605506741090017
structural_group,root,graph_00,industrial_cooling_system,3,node_003,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,1,prediction_margin,-0.2158812036008123,-0.02367510514344906,-0.19220609845736325
structural_group,root,graph_00,industrial_cooling_system,3,node_003,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,1,mrr,0.5,0.08333333333333333,0.4166666666666667
structural_group,root,graph_00,industrial_cooling_system,3,node_003,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,1,recall_at_1,0.0,0.0,0.0
structural_group,root,graph_00,industrial_cooling_system,3,node_003,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,1,recall_at_5,1.0,0.0,1.0
structural_group,root,graph_00,industrial_cooling_system,3,node_003,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,1,match_acc,1.0,0.0,1.0
structural_group,root,graph_00,industrial_cooling_system,3,node_003,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,1,exact,0.0,0.0,0.0
structural_group,root,graph_00,industrial_cooling_system,3,node_005,full_oracle_minus_reversed_full,full_oracle,reversed_full,1,gold_cosine,-0.64920202483532,0.8318268392906257,-1.4810288641259457
structural_group,root,graph_00,industrial_cooling_system,3,node_005,full_oracle_minus_reversed_full,full_oracle,reversed_full,1,centered_cosine,0.04611892166041541,-0.011324993390798625,0.05744391505121403
structural_group,root,graph_00,industrial_cooling_system,3,node_005,full_oracle_minus_reversed_full,full_oracle,reversed_full,1,prediction_margin,-0.17268874301368187,-0.11909295125564667,-0.053595791758035194
structural_group,root,graph_00,industrial_cooling_system,3,node_005,full_oracle_minus_reversed_full,full_oracle,reversed_full,1,mrr,0.2,0.25,-0.04999999999999999
structural_group,root,graph_00,industrial_cooling_system,3,node_005,full_oracle_minus_reversed_full,full_oracle,reversed_full,1,recall_at_1,0.0,0.0,0.0
structural_group,root,graph_00,industrial_cooling_system,3,node_005,full_oracle_minus_reversed_full,full_oracle,reversed_full,1,recall_at_5,1.0,1.0,0.0
structural_group,root,graph_00,industrial_cooling_system,3,node_005,full_oracle_minus_reversed_full,full_oracle,reversed_full,1,match_acc,1.0,0.0,1.0
structural_group,root,graph_00,industrial_cooling_system,3,node_005,full_oracle_minus_reversed_full,full_oracle,reversed_full,1,exact,0.0,0.0,0.0
structural_group,root,graph_00,industrial_cooling_system,3,node_005,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,20,gold_cosine,-0.64920202483532,0.39615079124296826,-1.0453528160782883
structural_group,root,graph_00,industrial_cooling_system,3,node_005,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,20,centered_cosine,0.04611892166041541,-0.01980057401370423,0.06591949567411964
structural_group,root,graph_00,industrial_cooling_system,3,node_005,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,20,prediction_margin,-0.17268874301368187,-0.15200820995540515,-0.020680533058276718
structural_group,root,graph_00,industrial_cooling_system,3,node_005,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,20,mrr,0.2,0.1858724323062558,0.014127567693744209
structural_group,root,graph_00,industrial_cooling_system,3,node_005,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,20,recall_at_1,0.0,0.0,0.0
structural_group,root,graph_00,industrial_cooling_system,3,node_005,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,20,recall_at_5,1.0,0.35,0.65
structural_group,root,graph_00,industrial_cooling_system,3,node_005,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,20,match_acc,1.0,0.3,0.7
structural_group,root,graph_00,industrial_cooling_system,3,node_005,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,20,exact,0.0,0.0,0.0
structural_group,root,graph_00,industrial_cooling_system,3,node_005,full_oracle_minus_uniform,full_oracle,uniform,1,gold_cosine,-0.64920202483532,0.9246723102930625,-1.5738743351283824
structural_group,root,graph_00,industrial_cooling_system,3,node_005,full_oracle_minus_uniform,full_oracle,uniform,1,centered_cosine,0.04611892166041541,-0.4128080819727999,0.4589270036332153
